O,D,Value
1,1,49
1,2,83
1,3,87
1,4,100
1,5,88
1,6,77
1,7,63
1,8,35
1,9,21
1,10,10
1,11,10
1,12,23
1,13,32
1,14,47
2,1,90
2,2,87
2,3,62
2,4,41
2,5,19
2,6,15
2,7,10
2,8,17
2,9,38
2,10,64
2,11,91
2,12,99
2,13,100
2,14,84
3,1,94
3,2,97
3,3,87
3,4,60
3,5,44
3,6,19
3,7,13
3,8,10
3,9,17
3,10,41
3,11,62
3,12,89
3,13,94
3,14,100
4,1,16
4,2,13
4,3,23
4,4,50
4,5,66
4,6,91
4,7,97
4,8,100
4,9,93
4,10,69
4,11,48
4,12,21
4,13,16
4,14,10
5,1,10
5,2,18
5,3,24
5,4,31
5,5,38
5,6,44
5,7,51
5,8,60
5,9,68
5,10,72
5,11,80
5,12,88
5,13,94
5,14,100
6,1,100
6,2,88
6,3,82
6,4,79
6,5,70
6,6,61
6,7,60
6,8,51
6,9,46
6,10,39
6,11,31
6,12,23
6,13,16
6,14,10
7,1,62
7,2,96
7,3,100
7,4,113
7,5,101
7,6,90
7,7,76
7,8,48
7,9,34
7,10,23
7,11,23
7,12,36
7,13,45
7,14,60
8,1,99
8,2,96
8,3,71
8,4,50
8,5,28
8,6,24
8,7,19
8,8,26
8,9,47
8,10,73
8,11,100
8,12,108
8,13,109
8,14,93
9,1,101
9,2,104
9,3,94
9,4,67
9,5,51
9,6,26
9,7,20
9,8,17
9,9,24
9,10,48
9,11,69
9,12,96
9,13,101
9,14,107
10,1,23
10,2,20
10,3,30
10,4,57
10,5,73
10,6,98
10,7,104
10,8,107
10,9,100
10,10,76
10,11,55
10,12,28
10,13,23
10,14,17
11,1,22
11,2,30
11,3,36
11,4,43
11,5,50
11,6,56
11,7,63
11,8,72
11,9,80
11,10,84
11,11,92
11,12,100
11,13,106
11,14,112
12,1,105
12,2,93
12,3,87
12,4,84
12,5,75
12,6,66
12,7,65
12,8,56
12,9,51
12,10,44
12,11,36
12,12,28
12,13,21
12,14,15
13,1,95
13,2,33
13,3,64
13,4,15
13,5,48
13,6,93
13,7,36
13,8,83
13,9,44
13,10,55
13,11,10
13,12,59
13,13,27
13,14,71
14,1,63
14,2,71
14,3,23
14,4,89
14,5,58
14,6,26
14,7,57
14,8,81
14,9,57
14,10,22
14,11,28
14,12,77
14,13,94
14,14,62
