O_city,D_city, flow
0,0,523.34
0,1,33.6
0,2,93.61
0,3,47.99
0,4,44.03
0,5,46.35
0,6,151.28
0,7,91.11
0,8,69.03
0,9,15.52
0,10,67.62
0,11,49.6
0,12,9.98
0,13,48.62
0,14,50.09
0,15,60.98
0,16,51.55
0,17,13.03
0,18,106.07
0,19,16.59
0,20,58.12
0,21,210.14
0,22,94.36
0,23,35.12
0,24,69.65
0,25,65.92
0,26,42.77
0,27,74.22
0,28,149.78
0,29,124.62
0,30,150.22
0,31,93.98
0,32,47.32
0,33,70.35
0,34,56.21
0,35,136.87
0,36,139.77
0,37,32.09
0,38,82.71
0,39,107.99
0,40,131.49
0,41,116.77
0,42,70.22
0,43,15.64
0,44,63.13
0,45,158.29
0,46,55.63
0,47,29.28
0,48,39.58
0,49,70.47
0,50,44.16
0,51,14.98
0,52,85.9
0,53,23.65
0,54,235.3
0,55,90.64
0,56,70.3
0,57,38.93
0,58,57.53
0,59,37.75
0,60,146.98
0,61,40.88
0,62,98.97
0,63,75.35
0,64,98.86
0,65,10.54
0,66,172.73
0,67,156.77
0,69,114.64
0,70,128.43
0,71,139.37
0,72,182.01
0,73,77.14
0,74,71.3
0,75,44.34
0,76,38.12
0,77,109.8
0,78,127.77
0,79,60.2
0,80,65.67
0,81,153.42
0,82,13.15
0,83,92.74
0,84,25.25
0,85,46.11
0,86,105.86
0,87,47.55
0,88,91.79
0,89,26.27
0,90,74.47
0,91,72.25
0,92,67
0,93,121.98
0,94,58.52
0,95,133.28
0,97,38.45
0,98,122.15
0,99,45.43
0,100,83.9
0,101,24.3
0,102,206.39
0,103,32.55
0,104,96.74
0,105,76.21
0,106,58.54
0,107,91.15
0,108,89.35
0,109,100.34
0,110,57.13
0,111,43.96
0,112,28.32
0,113,66.99
0,114,43.83
0,115,160.22
0,116,17.51
0,117,126.68
0,118,59.74
0,119,28.24
0,120,63.76
0,121,82.91
0,123,109.78
0,124,25.05
0,125,52.35
0,126,91.45
0,127,61.04
0,128,106.59
0,129,43.55
0,130,52.7
0,131,67.93
0,132,69.74
0,133,28.73
0,134,160.97
0,135,53.86
0,136,21.85
0,137,129.26
0,138,96.05
0,139,123.33
0,140,25.76
0,141,34.67
0,142,131.32
0,143,83.57
0,144,25.02
0,145,132.45
0,146,27.62
0,147,119.3
0,148,92.65
0,149,155.71
0,150,105.63
0,151,65.74
0,152,22.5
0,153,26.85
0,154,124.11
0,155,13.72
0,156,29.37
0,157,88.41
0,158,225.6
0,159,10.6
1,0,6.21
1,1,188.1
1,2,11.28
1,3,59.87
1,4,9.46
1,5,10.65
1,6,19.43
1,7,17.43
1,8,23.65
1,9,11.17
1,10,76.34
1,12,7.43
1,13,9.93
1,14,4.97
1,15,9.3
1,16,82.61
1,17,1.86
1,18,44.38
1,19,4.96
1,20,11.86
1,21,141.04
1,22,16.8
1,23,6.21
1,24,31.04
1,25,15.63
1,26,4.96
1,27,13.02
1,28,28.9
1,29,11.97
1,30,153.34
1,31,30.83
1,32,3.1
1,33,45.4
1,34,5.58
1,35,94.22
1,36,35.86
1,37,51.91
1,38,8.05
1,39,32.12
1,40,52.57
1,41,9.38
1,43,3.74
1,44,15.02
1,45,112.8
1,46,13.71
1,47,1.24
1,48,8.07
1,49,33.49
1,50,11.8
1,51,0
1,52,32.99
1,53,34.85
1,54,105.72
1,55,20.64
1,56,27.89
1,57,52
1,58,85.11
1,59,4.96
1,60,40.02
1,61,4.96
1,62,31.26
1,63,20.11
1,64,53.83
1,65,0
1,66,115.07
1,67,124.98
1,69,3.72
1,70,75.1
1,71,17.41
1,72,132.76
1,73,18.11
1,74,18.07
1,75,5.58
1,76,93.41
1,77,31.41
1,78,64.8
1,79,4.98
1,80,11.26
1,81,104.49
1,82,5
1,83,22.63
1,84,8.13
1,85,116.64
1,86,31.41
1,87,8.14
1,88,31.88
1,89,48.71
1,90,13.7
1,91,24.65
1,92,10.61
1,93,42.15
1,94,5.6
1,95,90.6
1,97,1.86
1,98,23.15
1,99,10.54
1,100,16.29
1,101,41.68
1,102,60.62
1,103,6.85
1,104,27.68
1,105,30.02
1,106,4.97
1,107,36.13
1,108,31.98
1,109,46.83
1,110,16.99
1,111,4.34
1,112,9.99
1,113,42.17
1,114,3.72
1,115,42.35
1,116,11.24
1,117,68.53
1,118,11.18
1,119,13.75
1,120,7.45
1,121,8.7
1,123,61.6
1,124,8.13
1,125,2.48
1,126,11.84
1,128,38.03
1,129,13.79
1,130,6.2
1,131,10.61
1,132,16.78
1,133,1.86
1,134,6.84
1,135,11.83
1,136,3.12
1,137,85.18
1,138,31.25
1,139,134.22
1,140,46.9
1,141,4.96
1,142,8.13
1,143,11.84
1,144,2.48
1,145,9.35
1,146,5.58
1,147,60.18
1,148,20.7
1,149,76.23
1,150,34.63
1,151,5.04
1,152,0
1,153,6.25
1,154,4.36
1,155,4.36
1,156,2.48
1,157,8.17
1,158,164.72
1,159,14.43
2,0,96.58
2,1,70.92
2,2,600.32
2,3,69.25
2,4,63.33
2,5,55.42
2,6,115.23
2,7,160.3
2,8,78.8
2,9,36.49
2,10,89.34
2,11,62.74
2,12,43.34
2,13,68.48
2,14,58.62
2,15,99.39
2,16,70.72
2,17,19.35
2,18,118.52
2,19,39.05
2,20,94.29
2,21,211.64
2,22,94.71
2,23,108.86
2,24,91.34
2,25,113.12
2,26,55.15
2,27,72.5
2,28,101.12
2,29,59.22
2,30,196.75
2,31,105.33
2,32,85
2,33,110.14
2,34,74.59
2,35,149.11
2,36,103.64
2,37,45.66
2,38,82.02
2,39,104.6
2,40,146.99
2,41,67.32
2,42,73.66
2,43,30.9
2,44,64.74
2,45,175.2
2,46,68.07
2,47,26.79
2,48,48.17
2,49,81.98
2,50,73.51
2,51,38.97
2,52,93.93
2,53,36.62
2,54,188.79
2,55,128.68
2,56,88.45
2,57,67.9
2,58,111.11
2,59,37.03
2,60,107.88
2,61,38.39
2,62,116.74
2,63,94.68
2,64,120.11
2,65,11.24
2,66,250.74
2,67,170.57
2,69,71.79
2,70,139.35
2,71,84.07
2,72,201.83
2,73,101.36
2,74,93.11
2,75,56.54
2,76,68.71
2,77,159.13
2,78,159.28
2,79,43.46
2,80,77.38
2,81,216.25
2,82,23.11
2,83,95.18
2,84,62.55
2,85,75.04
2,86,108.63
2,87,63.51
2,88,98.54
2,89,43.26
2,90,117.97
2,91,97.6
2,92,96.62
2,93,122.57
2,94,101.13
2,95,155.47
2,97,37.76
2,98,179.29
2,99,77.16
2,100,83.19
2,101,34.51
2,102,127.77
2,103,60.59
2,104,102.91
2,105,142.65
2,106,64
2,107,88.68
2,108,116.66
2,109,116.27
2,110,103.57
2,111,63.15
2,112,78.75
2,113,101.59
2,114,62.89
2,115,121.01
2,116,32.61
2,117,193.87
2,118,68.72
2,119,48.29
2,120,75.27
2,121,135.26
2,123,128.77
2,124,31.13
2,125,33.62
2,126,146.77
2,127,81.28
2,128,187.95
2,129,71
2,130,74.88
2,131,72.41
2,132,108.4
2,133,32.04
2,134,126.63
2,135,79.03
2,136,35.82
2,137,139.14
2,138,105.51
2,139,130.37
2,140,38.47
2,141,53.77
2,142,73.65
2,143,82.65
2,144,23.12
2,145,63.53
2,146,57.46
2,147,202.83
2,148,96.29
2,149,143.83
2,150,161.74
2,151,79.6
2,152,20.76
2,153,85.73
2,154,63.75
2,155,21.29
2,156,15.62
2,157,96.79
2,158,297.78
2,159,33.91
3,0,12.45
3,1,55.14
3,2,21.26
3,3,441.8
3,4,16.35
3,5,25.65
3,6,48.72
3,7,44.67
3,8,21.87
3,9,12.41
3,10,118.25
3,12,20
3,13,21.22
3,14,15.6
3,15,31.77
3,16,101.86
3,17,6.86
3,18,76.57
3,19,18.03
3,20,23.63
3,21,133.86
3,22,23.18
3,23,19.41
3,24,39.24
3,25,30.7
3,26,13.11
3,27,27.59
3,28,47.47
3,29,10.62
3,30,124.68
3,31,48.66
3,32,11.8
3,33,61.02
3,34,12.45
3,35,88.38
3,36,15.62
3,37,80.03
3,38,19.35
3,39,43.57
3,40,64.87
3,41,18.08
3,43,13.68
3,44,22.54
3,45,110.07
3,46,41.65
3,47,5.58
3,48,8.12
3,49,52.38
3,50,36.59
3,51,9.99
3,52,24.41
3,53,62.54
3,54,107.5
3,55,34.62
3,56,40.07
3,57,81.08
3,58,63.53
3,59,11.21
3,60,36.99
3,61,7.49
3,62,55.51
3,63,32.26
3,64,71.21
3,65,3.1
3,66,110
3,67,114.75
3,69,8.68
3,70,61.24
3,71,23.76
3,72,128.68
3,73,34.96
3,74,36.55
3,75,6.25
3,76,88.25
3,77,40.9
3,78,82.05
3,79,15.11
3,80,30.93
3,81,107.7
3,82,6.88
3,83,23.22
3,84,21.46
3,85,89.05
3,86,55.13
3,87,11.91
3,88,41.54
3,89,91.28
3,90,41.88
3,91,87.38
3,92,35.1
3,93,64.09
3,94,19.33
3,95,108.65
3,97,9.35
3,98,52.27
3,99,37.03
3,100,28.7
3,101,73.27
3,102,72.54
3,103,17.46
3,104,50.63
3,105,45.4
3,106,15.59
3,107,39.5
3,108,47.5
3,109,63.28
3,110,28.35
3,111,18.74
3,112,8.11
3,113,43.9
3,114,6.24
3,115,37.73
3,116,13.78
3,117,64.47
3,118,12.5
3,119,10.59
3,120,25
3,121,26.97
3,123,82.92
3,124,28.82
3,125,13.79
3,126,22
3,128,42.3
3,129,34.51
3,130,10.02
3,131,23.08
3,132,20.05
3,133,6.82
3,134,18.12
3,135,22.47
3,136,17.43
3,137,82.48
3,138,51.59
3,139,144.63
3,140,85.25
3,141,13.2
3,142,8.71
3,143,20.64
3,144,8.68
3,145,14.97
3,146,20.65
3,147,66.52
3,148,42.92
3,149,88.37
3,150,36
3,151,14.47
3,152,4.35
3,153,8.75
3,154,13.04
3,155,5.58
3,156,4.34
3,157,25.68
3,158,142.99
3,159,8.71
4,0,12.55
4,1,8.16
4,2,13.66
4,3,11.84
4,4,421.79
4,5,9.47
4,6,26.32
4,7,20.62
4,8,19.02
4,9,4.37
4,10,28.53
4,11,9.32
4,12,2.49
4,13,10.58
4,14,27.46
4,15,17.07
4,16,7.51
4,17,63.05
4,18,51.88
4,19,3.14
4,20,16.18
4,21,132.51
4,22,16.33
4,23,8.09
4,24,57.68
4,25,15.02
4,26,7.49
4,27,16.3
4,28,40.88
4,29,9.32
4,30,91.08
4,31,42.17
4,32,6.22
4,33,32.65
4,34,7.45
4,35,89.3
4,36,35.67
4,37,6.93
4,38,16.82
4,39,33.87
4,40,58.49
4,41,12.5
4,42,11.63
4,43,6.22
4,44,115.97
4,45,110.1
4,46,7.55
4,47,1.86
4,48,3.73
4,49,17.59
4,50,6.83
4,51,4.34
4,52,22.24
4,53,3.76
