City Name, Number, Longitude, Latitude
Tai'an, 0, 117.0258, 36.001
Xiangxi, 1, 109.7269, 28.6947
Taizhou, 2, 120.0567, 32.5714
Chenzhou, 3, 113.1367, 25.8147
Ankang, 4, 108.9265, 32.7572
Luohe, 5, 113.8999, 33.6557
Linyi, 6, 118.2805, 35.3091
Yancheng, 7, 120.1829, 33.509
Xinxiang, 8, 114.0885, 35.2621
Jingmen, 9, 112.6083, 31.069
Hengyang, 10, 112.5744, 26.7944
Zhumadian, 11, 114.1509, 32.9234
Yingtan, 12, 117.1086, 28.224
Huangshi, 13, 115.0253, 29.9268
Sanmenxia, 14, 111.1059, 34.3609
Luan, 15, 116.2297, 31.66
Zhuzhou, 16, 113.5164, 27.1198
Shangluo, 17, 109.9013, 33.6471
Luoyang, 18, 112.0312, 34.2911
Xinyu, 19, 114.8526, 27.8452
Anqing, 20, 116.4867, 30.576
Beijing, 21, 116.4123, 40.1855
Zhangjiakou, 22, 115.0324, 40.8651
Xuancheng, 23, 118.8522, 30.6862
Xiangyang, 24, 111.9371, 31.9307
Shaoxing, 25, 120.6365, 29.7352
Huanggang, 26, 115.3397, 30.7159
Hengshui, 27, 115.8232, 37.7625
Weihai, 28, 121.9831, 37.1203
Heze, 29, 115.6924, 35.1504
Zhangjiajie, 30, 110.5256, 29.3936
Quanzhou, 31, 118.2573, 25.2001
Huainan, 32, 116.7684, 32.472
Yichang, 33, 111.1352, 30.7469
Bozhou, 34, 116.1807, 33.4355
Zhengzhou, 35, 113.469, 34.6279
Zibo, 36, 118.0533, 36.6077
Shaoyang, 37, 110.8747, 26.9136
Anyang, 38, 114.3538, 35.8764
Taiyuan, 39, 112.3161, 37.9592
Xuzhou, 40, 117.5166, 34.3561
Dezhou, 41, 116.6464, 37.2477
Puyang, 42, 115.2825, 35.8085
Ezhou, 43, 114.7558, 30.3287
Hanzhong, 44, 107.1015, 33.0906
Hangzhou, 45, 119.47, 29.9003
Ji'an, 46, 114.8247, 26.9736
Jiyuan, 47, 112.3919, 35.1003
Zhoukou, 48, 114.8778, 33.7218
Jingdezhen, 49, 117.27, 29.3073
Zhangzhou, 50, 117.443, 24.3664
Nanping, 51, 118.1421, 27.339
Langfang, 52, 116.628, 39.2592
Loudi, 53, 111.6143, 27.7392
Qingdao, 54, 120.1426, 36.4532
Huzhou, 55, 119.8687, 30.7444
Shennongjia, 56, 110.4747, 31.5904
Yueyang, 57, 113.2545, 29.0653
Enshi, 58, 109.549, 30.1916
Linfen, 59, 111.3769, 36.2269
Weifang, 60, 119.0711, 36.5456
Lvliang, 61, 111.2632, 37.6785
Jiaxing, 62, 120.8034, 30.6165
Xianyang, 63, 108.3905, 34.7845
Fuzhou, 64, 119.1803, 26.0497
Tongchuan, 65, 109.0322, 35.1957
Nanjing, 66, 118.8425, 31.9276
Wuhan, 67, 114.343, 30.6236
Handan, 68, 114.5421, 36.553
Dongying, 69, 118.6016, 37.6222
Hefei, 70, 117.3558, 31.7634
Jining, 71, 116.735, 35.3685
Xi'an, 72, 108.7919, 34.1069
Fuyang, 73, 115.7038, 32.9173
Jiujiang, 74, 115.4527, 29.3218
Yuncheng, 75, 111.0634, 35.1866
Changde, 76, 111.5195, 29.3001
Nantong, 77, 121.0218, 32.186
Huangshan, 78, 118.0711, 29.9066
Xinzhou, 79, 112.4074, 38.8819
Xiantao, 80, 113.3751, 30.2901
Suzhou, 81, 120.6516, 31.3813
Tianmen, 82, 113.1118, 30.6449
Chengde, 83, 117.5486, 41.3476
Fuzhou, 84, 116.4343, 27.51
Huaihua, 85, 110.0754, 27.5489
Shijiazhuang, 86, 114.4399, 38.1313
Jiaozuo, 87, 113.1291, 35.1169
Nanyang, 88, 112.2845, 33.0427
Yongzhou, 89, 111.7294, 25.7747
Wuhu, 90, 118.1346, 31.1627
Ganzhou, 91, 115.273, 25.7088
Quzhou, 92, 118.6747, 28.9345
Qinhuangdao, 93, 119.185, 40.088
Ma'anshan, 94, 118.3651, 31.637
Xiamen, 95, 118.1158, 24.6765
Xingtai, 96, 114.8159, 37.2126
Hebi, 97, 114.3109, 35.7217
Lianyungang, 98, 119.1336, 34.5332
Shangrao, 99, 117.4723, 28.7734
Baoding, 100, 115.1706, 39.0213
Yiyang, 101, 111.951, 28.5751
Jinan, 102, 117.2148, 36.6371
Shiyan, 103, 110.4423, 32.4559
Bengbu, 104, 117.3254, 33.1086
Zhoushan, 105, 122.1858, 30.0948
Yulin, 106, 109.5663, 38.0378
Yan'an, 107, 109.3152, 36.4372
Taizhou, 108, 121.1108, 28.7727
Wenzhou, 109, 120.4404, 27.9037
Lishui, 110, 119.5117, 28.1993
Ningde, 111, 119.4734, 26.9749
Tongling, 112, 117.5561, 30.8842
Jingzhou, 113, 112.57, 29.9959
Huaibei, 114, 116.7435, 33.7266
Yantai, 115, 120.8006, 37.2408
Xiaogan, 116, 113.8793, 31.1183
Wuxi, 117, 120.0758, 31.5264
Pingdingshan, 118, 113.0118, 33.7954
Suizhou, 119, 113.4241, 31.8284
Xuchang, 120, 113.7096, 34.0726
Suqian, 121, 118.5202, 33.7842
Tangshan, 122, 118.3359, 39.7212
Nanchang, 123, 116.019, 28.6493
Pingxiang, 124, 113.9025, 27.5116
Changzhi, 125, 112.9168, 36.4753
Huai'an, 126, 118.9638, 33.3529
Xinyang, 127, 114.8839, 32.0812
Yangzhou, 128, 119.4742, 32.7382
Yichun, 129, 114.9727, 28.3061
Baoji, 130, 107.2, 34.3788
Datong, 131, 113.7223, 39.8995
Chuzhou, 132, 118.1026, 32.5442
Jincheng, 133, 112.7076, 35.6106
Rizhao, 134, 119.1351, 35.583
Jinhua, 135, 119.9521, 29.1183
Longyan, 136, 116.7387, 25.2928
Ningbo, 137, 121.4607, 29.7424
Putian, 138, 118.8895, 25.4509
Changsha, 139, 113.1531, 28.2269
Xiangtan, 140, 112.6027, 27.7316
Weinan, 141, 109.8508, 34.95
Zaozhuang, 142, 117.3933, 34.916
Shangqiu, 143, 115.6982, 34.2884
Jinzhong, 144, 112.9632, 37.3273
Liaocheng, 145, 115.8806, 36.4585
Xianning, 146, 114.1752, 29.6236
Changzhou, 147, 119.6372, 31.6253
Kaifeng, 148, 114.5355, 34.604
Tianjin, 149, 117.334, 39.2934
Zhenjiang, 150, 119.4536, 32.0167
Suzhou, 151, 117.2108, 33.8587
Yangquan, 152, 113.499, 38.0635
Chizhou, 153, 117.3656, 30.2838
Binzhou, 154, 117.8377, 37.5316
Sanming, 155, 117.3959, 26.2987
Shuozhou, 156, 112.6415, 39.6173
Cangzhou, 157, 116.7533, 38.2668
Shanghai, 158, 121.4691, 31.2401
Qianjiang, 159, 112.7561, 30.339
