O_city,D_city,flow
0,1,0.01
0,2,0.88
0,3,0.02
0,4,0.03
0,5,0.13
0,6,50.49
0,7,1.43
0,8,0.58
0,9,0.04
0,10,0.02
0,11,0.26
0,12,0.01
0,13,0.03
0,14,0.09
0,15,0.15
0,16,0.02
0,17,0.02
0,18,0.42
0,19,0.01
0,20,0.25
0,21,5.78
0,22,0.53
0,23,0.17
0,24,0.13
0,25,0.24
0,26,0.09
0,27,2.44
0,28,1.14
0,29,17.53
0,30,0.03
0,31,0.07
0,32,0.24
0,33,0.05
0,34,0.48
0,35,1.93
0,36,18.22
0,37,0.02
0,38,0.6
0,39,0.93
0,40,7.4
0,41,15.71
0,42,2.27
0,43,0.01
0,44,0.03
0,45,0.98
0,46,0.03
0,47,0.05
0,48,0.56
0,49,0.06
0,50,0.03
0,51,0.03
0,52,1.6
0,53,0.01
0,54,11.43
0,55,0.28
0,56,0.01
0,57,0.05
0,58,0.03
0,59,0.17
0,60,10.13
0,61,0.29
0,62,0.55
0,63,0.1
0,64,0.11
0,65,0.01
0,66,1.71
0,67,0.31
0,68,3.06
0,69,3.66
0,70,1.22
0,71,81.37
0,72,0.51
0,73,0.43
0,74,0.09
0,75,0.13
0,76,0.04
0,77,0.96
0,78,0.11
0,79,0.34
0,80,0.02
0,81,1.58
0,82,0.01
0,83,0.29
0,84,0.04
0,85,0.02
0,86,3.82
0,87,0.3
0,88,0.32
0,89,0.01
0,90,0.34
0,91,0.05
0,92,0.08
0,93,0.61
0,94,0.24
0,95,0.06
0,96,3.62
0,97,0.15
0,98,2.89
0,99,0.08
0,100,2.74
0,101,0.05
0,102,131.1
0,103,0.06
0,104,0.57
0,105,0.07
0,106,0.33
0,107,0.06
0,108,0.21
0,109,0.23
0,110,0.06
0,111,0.03
0,112,0.07
0,113,0.07
0,114,0.44
0,115,3.45
0,116,0.04
0,117,1.12
0,118,0.22
0,119,0.05
0,120,0.3
0,121,2.01
0,122,1.12
0,123,0.14
0,124,0.01
0,125,0.33
0,126,1.27
0,127,0.15
0,128,1.1
0,129,0.05
0,130,0.04
0,131,0.24
0,132,0.54
0,133,0.12
0,134,9.79
0,135,0.36
0,136,0.02
0,137,0.46
0,138,0.02
0,139,0.17
0,140,0.02
0,141,0.1
0,142,12.4
0,143,1.52
0,144,0.66
0,145,20.31
0,146,0.02
0,147,0.85
0,148,1.03
0,149,4.15
0,150,0.42
0,151,1.17
0,152,0.21
0,153,0.1
0,154,7.38
0,155,0.02
0,156,0.12
0,157,4.25
0,158,1.73
0,159,0.02
1,0,0.03
1,2,0.06
1,3,0.48
1,4,0.07
1,5,0.06
1,6,0.14
1,7,0.07
1,8,0.09
1,9,0.6
1,10,1.55
1,11,0.16
1,12,0.04
1,13,0.18
1,14,0.02
1,15,0.1
1,16,1.25
1,17,0.02
1,18,0.13
1,19,0.12
1,20,0.13
1,21,0.33
1,22,0.01
1,23,0.05
1,24,0.69
1,25,0.12
1,26,0.23
1,27,0.03
1,28,0.02
1,29,0.09
1,30,25.33
1,31,0.53
1,32,0.04
1,33,0.87
1,34,0.07
1,35,0.68
1,36,0.06
1,37,3.78
1,38,0.05
1,39,0.03
1,40,0.12
1,41,0.04
1,42,0.05
1,43,0.05
1,44,0.06
1,45,0.37
1,46,0.27
1,47,0.01
1,48,0.11
1,49,0.06
1,50,0.13
1,51,0.05
1,52,0.03
1,53,2.2
1,54,0.09
1,55,0.13
1,56,0.04
1,57,2.06
1,58,12.75
1,59,0.01
1,60,0.06
1,61,0
1,62,0.21
1,63,0.03
1,64,0.31
1,65,0
1,66,0.29
1,67,1.8
1,68,0.13
1,69,0.01
1,70,0.3
1,71,0.1
1,72,0.23
1,73,0.11
1,74,0.32
1,75,0.02
1,76,8.87
1,77,0.09
1,78,0.04
1,79,0.01
1,80,0.13
1,81,0.25
1,82,0.07
1,83,0.01
1,84,0.13
1,85,24.34
1,86,0.1
1,87,0.06
1,88,0.44
1,89,1.03
1,90,0.07
1,91,0.38
1,92,0.07
1,93,0.01
1,94,0.04
1,95,0.29
1,96,0.05
1,97,0.02
1,98,0.04
1,99,0.15
1,100,0.09
1,101,2.71
1,102,0.11
1,103,0.14
1,104,0.05
1,105,0.01
1,106,0.01
1,107,0.01
1,108,0.22
1,109,0.42
1,110,0.04
1,111,0.08
1,112,0.03
1,113,1.67
1,114,0.02
1,115,0.04
1,116,0.22
1,117,0.27
1,118,0.19
1,119,0.12
1,120,0.11
1,121,0.05
1,122,0.03
1,123,0.42
1,124,0.33
1,125,0.02
1,126,0.05
1,127,0.14
1,128,0.06
1,129,0.51
1,130,0.02
1,131,0.01
1,132,0.05
1,133,0.01
1,134,0.01
1,135,0.45
1,136,0.1
1,137,0.36
1,138,0.1
1,139,12.1
1,140,1.83
1,141,0.03
1,142,0.03
1,143,0.09
1,144,0.02
1,145,0.04
1,146,0.31
1,147,0.19
1,148,0.11
1,149,0.11
1,150,0.05
1,151,0.04
1,152,0
1,153,0.04
1,154,0.02
1,155,0.09
1,156,0
1,157,0.04
1,158,0.3
1,159,0.2
2,0,0.54
2,1,0.02
2,3,0.02
2,4,0.02
2,5,0.09
2,6,5.99
2,7,97.48
2,8,0.22
2,9,0.05
2,10,0.03
2,11,0.19
2,12,0.06
2,13,0.11
2,14,0.04
2,15,0.74
2,16,0.03
2,17,0.01
2,18,0.16
2,19,0.02
2,20,0.43
2,21,1.04
2,22,0.06
2,23,1.19
2,24,0.09
2,25,1.76
2,26,0.23
2,27,0.18
2,28,0.39
2,29,0.91
2,30,0.04
2,31,0.16
2,32,0.5
2,33,0.09
2,34,0.72
2,35,0.55
2,36,0.58
2,37,0.05
2,38,0.13
2,39,0.14
2,40,7.68
2,41,0.37
2,42,0.31
2,43,0.03
2,44,0.01
2,45,6.09
2,46,0.06
2,47,0.02
