Month, ocity_name, dcity_name, Ratio of migration from B to A over total migration into A_monthly average, Ratio of migration from A to B over total migration out of A_monthly 
23-Jun,Beijing,Langfang,19.255,16.83916667
23-Jun,Beijing,Tianjin,9.218333333,9.380833333
23-Jun,Beijing,Baoding,9.223333333,9.346666667
23-Jun,Beijing,Zhangjiakou,4.264166667,4.693333333
23-Jun,Beijing,Chengde,2.9,3.049166667
23-Jun,Beijing,Qinhuangdao,2.1925,2.881666667
23-Jun,Beijing,Shijiazhuang,2.331666667,2.259166667
23-Jun,Beijing,Tangshan,2.448333333,2.104166667
23-Jun,Beijing,Shanghai,2.0375,1.815
23-Jun,Beijing,Handan,1.465833333,1.696666667
23-Jun,Beijing,Cangzhou,1.578333333,1.411666667
23-Jun,Beijing,Jinan,1.064166667,1.105833333
23-Jun,Beijing,Qingdao,1.114166667,1.096666667
23-Jun,Beijing,Hengshui,0.998333333,1.0925
23-Jun,Beijing,Xi'an,1.025833333,1.08
23-Jun,Beijing,Zhengzhou,0.98,1.009166667
23-Jun,Beijing,Xingtai,0.898333333,0.986666667
23-Jun,Beijing,Taiyuan,0.801666667,0.940833333
23-Jun,Beijing,Wuhan,0.798333333,0.818333333
23-Jun,Beijing,Datong,0.733333333,0.8025
23-Jun,Beijing,Hangzhou,0.831666667,0.770833333
23-Jun,Beijing,Nanjing,0.920833333,0.76
23-Jun,Beijing,Dezhou,0.521666667,0.605
23-Jun,Beijing,Changsha,0.511666667,0.555833333
23-Jun,Beijing,Yantai,0.458333333,0.499166667
23-Jun,Beijing,Suzhou,0.61,0.483333333
23-Jun,Beijing,Hefei,0.625833333,0.460833333
23-Jun,Beijing,Anyang,0.405833333,0.458333333
23-Jun,Beijing,Liaocheng,0.391666667,0.456666667
23-Jun,Beijing,Heze,0.383333333,0.450833333
23-Jun,Beijing,Zibo,0.29,0.445
23-Jun,Beijing,Xinzhou,0.2575,0.383333333
23-Jun,Beijing,Zhoukou,0.334166667,0.363333333
23-Jun,Beijing,Weifang,0.340833333,0.341666667
23-Jun,Beijing,Weihai,0.266666667,0.340833333
23-Jun,Beijing,Tai'an,0.2775,0.34
23-Jun,Beijing,Puyang,0.2625,0.328333333
23-Jun,Beijing,Jining,0.284166667,0.300833333
23-Jun,Beijing,Linfen,0.25,0.290833333
23-Jun,Beijing,Luoyang,0.250833333,0.285
23-Jun,Beijing,Linyi,0.268333333,0.265833333
23-Jun,Beijing,Jinzhong,0.226666667,0.255
23-Jun,Beijing,Xuzhou,0.2625,0.2475
23-Jun,Beijing,Xinyang,0.275833333,0.241666667
23-Jun,Beijing,Shangqiu,0.2075,0.239166667
23-Jun,Beijing,Xinxiang,0.2375,0.231666667
23-Jun,Beijing,Wuxi,0.253333333,0.221666667
23-Jun,Beijing,Nanchang,0.265,0.22
23-Jun,Beijing,Yuncheng,0.196666667,0.218333333
23-Jun,Beijing,Zhumadian,0.221666667,0.2125
23-Jun,Beijing,Nanyang,0.188333333,0.195
23-Jun,Beijing,Fuzhou,0.199090909,0.194
23-Jun,Beijing,Xiamen,0.2025,0.19
23-Jun,Beijing,Binzhou,0.184166667,0.185
23-Jun,Beijing,Dongying,0.170909091,0.179166667
23-Jun,Beijing,Ningbo,0.243333333,0.175833333
23-Jun,Beijing,Changzhi,0.171818182,0.173333333
23-Jun,Beijing,Taizhou,0.196,0.17
23-Jun,Beijing,Shuozhou,0.143636364,0.1575
23-Jun,Beijing,Fuyang,0.150909091,0.150833333
23-Jun,Beijing,Lvliang,0.13125,0.149090909
23-Jun,Beijing,Kaifeng,0.141818182,0.145833333
23-Jun,Beijing,Nantong,0.158333333,0.145
23-Jun,Beijing,Changzhou,0.153636364,0.14
23-Jun,Beijing,Zaozhuang,0.133,0.14
