ocity,ox,oy,dcity,dx,dy,strength(%%)
Tai'an,117.0258,36.001,Tai'an,117.0258,36.001,0.0
Tai'an,117.0258,36.001,Xiangxi,109.7269,28.6947,0.0
Tai'an,117.0258,36.001,Taizhou,120.0567,32.5714,0.0
Tai'an,117.0258,36.001,Chenzhou,113.1367,25.8147,0.0
Tai'an,117.0258,36.001,Ankang,108.9265,32.7572,0.0
Tai'an,117.0258,36.001,Luohe,113.8999,33.6557,0.0
Tai'an,117.0258,36.001,Linyi,118.2805,35.3091,21.9791
Tai'an,117.0258,36.001,Yancheng,120.1829,33.509,0.02473
Tai'an,117.0258,36.001,Xinxiang,114.0885,35.2621,0.02059
Tai'an,117.0258,36.001,Jingmen,112.6083,31.069,0.0
Tai'an,117.0258,36.001,Hengyang,112.5744,26.7944,0.0
Tai'an,117.0258,36.001,Zhumadian,114.1509,32.9234,0.00563
Tai'an,117.0258,36.001,Yingtan,117.1086,28.224,0.0
Tai'an,117.0258,36.001,Huangshi,115.0253,29.9268,0.0
Tai'an,117.0258,36.001,Sanmenxia,111.1059,34.3609,0.0
Tai'an,117.0258,36.001,Luan,116.2297,31.66,0.0028
Tai'an,117.0258,36.001,Zhuzhou,113.5164,27.1198,0.0
Tai'an,117.0258,36.001,Shangluo,109.9013,33.6471,0.0
Tai'an,117.0258,36.001,Luoyang,112.0312,34.2911,0.02278
Tai'an,117.0258,36.001,Xinyu,114.8526,27.8452,0.0
Tai'an,117.0258,36.001,Anqing,116.4867,30.576,0.0
Tai'an,117.0258,36.001,Beijing,116.4123,40.1855,0.81029
Tai'an,117.0258,36.001,Zhangjiakou,115.0324,40.8651,0.0123
Tai'an,117.0258,36.001,Xuancheng,118.8522,30.6862,0.0024
Tai'an,117.0258,36.001,Xiangyang,111.9371,31.9307,0.005
Tai'an,117.0258,36.001,Shaoxing,120.6365,29.7352,0.00408
Tai'an,117.0258,36.001,Huanggang,115.3397,30.7159,0.0
Tai'an,117.0258,36.001,Hengshui,115.8232,37.7625,0.04336
Tai'an,117.0258,36.001,Weihai,121.9831,37.1203,0.96431
Tai'an,117.0258,36.001,Heze,115.6924,35.1504,5.51458
Tai'an,117.0258,36.001,Zhangjiajie,110.5256,29.3936,0.0
Tai'an,117.0258,36.001,Quanzhou,118.2573,25.2001,0.0
Tai'an,117.0258,36.001,Huainan,116.7684,32.472,0.00403
Tai'an,117.0258,36.001,Yichang,111.1352,30.7469,0.0
Tai'an,117.0258,36.001,Bozhou,116.1807,33.4355,0.01648
Tai'an,117.0258,36.001,Zhengzhou,113.469,34.6279,0.06816
Tai'an,117.0258,36.001,Zibo,118.0533,36.6077,9.95808
Tai'an,117.0258,36.001,Shaoyang,110.8747,26.9136,0.0
Tai'an,117.0258,36.001,Anyang,114.3538,35.8764,0.03647
Tai'an,117.0258,36.001,Taiyuan,112.3161,37.9592,0.01648
Tai'an,117.0258,36.001,Xuzhou,117.5166,34.3561,0.42621
Tai'an,117.0258,36.001,Dezhou,116.6464,37.2477,3.4915
Tai'an,117.0258,36.001,Puyang,115.2825,35.8085,0.2584
Tai'an,117.0258,36.001,Ezhou,114.7558,30.3287,0.0
Tai'an,117.0258,36.001,Hanzhong,107.1015,33.0906,0.0
Tai'an,117.0258,36.001,Hangzhou,119.47,29.9003,0.03067
Tai'an,117.0258,36.001,Ji'an,114.8247,26.9736,0.0
Tai'an,117.0258,36.001,Jiyuan,112.3919,35.1003,0.0
Tai'an,117.0258,36.001,Zhoukou,114.8778,33.7218,0.01673
Tai'an,117.0258,36.001,Jingdezhen,117.27,29.3073,0.0
Tai'an,117.0258,36.001,Zhangzhou,117.443,24.3664,0.0
Tai'an,117.0258,36.001,Nanping,118.1421,27.339,0.0
Tai'an,117.0258,36.001,Langfang,116.628,39.2592,0.0276
Tai'an,117.0258,36.001,Loudi,111.6143,27.7392,0.0
Tai'an,117.0258,36.001,Qingdao,120.1426,36.4532,9.44658
Tai'an,117.0258,36.001,Huzhou,119.8687,30.7444,0.00405
Tai'an,117.0258,36.001,Shennongjia,110.4747,31.5904,0.0
Tai'an,117.0258,36.001,Yueyang,113.2545,29.0653,0.0
Tai'an,117.0258,36.001,Enshi,109.549,30.1916,0.0
Tai'an,117.0258,36.001,Linfen,111.3769,36.2269,0.00862
Tai'an,117.0258,36.001,Weifang,119.0711,36.5456,4.44035
Tai'an,117.0258,36.001,Lvliang,111.2632,37.6785,0.00587
Tai'an,117.0258,36.001,Jiaxing,120.8034,30.6165,0.00736
Tai'an,117.0258,36.001,Xianyang,108.3905,34.7845,0.00254
Tai'an,117.0258,36.001,Fuzhou,119.1803,26.0497,0.0
Tai'an,117.0258,36.001,Tongchuan,109.0322,35.1957,0.0
Tai'an,117.0258,36.001,Nanjing,118.8425,31.9276,0.08969
Tai'an,117.0258,36.001,Wuhan,114.343,30.6236,0.0
Tai'an,117.0258,36.001,Handan,114.5421,36.553,0.18322
Tai'an,117.0258,36.001,Dongying,118.6016,37.6222,1.32019
Tai'an,117.0258,36.001,Hefei,117.3558,31.7634,0.0234
Tai'an,117.0258,36.001,Jining,116.735,35.3685,98.982
Tai'an,117.0258,36.001,Xi'an,108.7919,34.1069,0.0396
Tai'an,117.0258,36.001,Fuyang,115.7038,32.9173,0.01525
Tai'an,117.0258,36.001,Jiujiang,115.4527,29.3218,0.0
Tai'an,117.0258,36.001,Yuncheng,111.0634,35.1866,0.00586
Tai'an,117.0258,36.001,Changde,111.5195,29.3001,0.0
Tai'an,117.0258,36.001,Nantong,121.0218,32.186,0.01283
Tai'an,117.0258,36.001,Huangshan,118.0711,29.9066,0.01121
Tai'an,117.0258,36.001,Xinzhou,112.4074,38.8819,0.01285
Tai'an,117.0258,36.001,Xiantao,113.3751,30.2901,0.0
Tai'an,117.0258,36.001,Suzhou,120.6516,31.3813,0.0
Tai'an,117.0258,36.001,Tianmen,113.1118,30.6449,0.0
Tai'an,117.0258,36.001,Chengde,117.5486,41.3476,0.00813
Tai'an,117.0258,36.001,Fuzhou,116.4343,27.51,0.0
Tai'an,117.0258,36.001,Huaihua,110.0754,27.5489,0.0
Tai'an,117.0258,36.001,Shijiazhuang,114.4399,38.1313,0.0971
Tai'an,117.0258,36.001,Jiaozuo,113.1291,35.1169,0.01148
Tai'an,117.0258,36.001,Nanyang,112.2845,33.0427,0.00943
Tai'an,117.0258,36.001,Yongzhou,111.7294,25.7747,0.0
Tai'an,117.0258,36.001,Wuhu,118.1346,31.1627,0.00502
Tai'an,117.0258,36.001,Ganzhou,115.273,25.7088,0.0
Tai'an,117.0258,36.001,Quzhou,118.6747,28.9345,0.0
Tai'an,117.0258,36.001,Qinhuangdao,119.185,40.088,0.02071
Tai'an,117.0258,36.001,Ma'anshan,118.3651,31.637,0.00315
Tai'an,117.0258,36.001,Xiamen,118.1158,24.6765,0.01796
Tai'an,117.0258,36.001,Xingtai,114.8159,37.2126,0.06762
Tai'an,117.0258,36.001,Hebi,114.3109,35.7217,0.0057
Tai'an,117.0258,36.001,Lianyungang,119.1336,34.5332,0.07276
Tai'an,117.0258,36.001,Shangrao,117.4723,28.7734,0.0
Tai'an,117.0258,36.001,Baoding,115.1706,39.0213,0.03772
Tai'an,117.0258,36.001,Yiyang,111.951,28.5751,0.0
Tai'an,117.0258,36.001,Jinan,117.2148,36.6371,323.7138
Tai'an,117.0258,36.001,Shiyan,110.4423,32.4559,0.0
Tai'an,117.0258,36.001,Bengbu,117.3254,33.1086,0.01561
Tai'an,117.0258,36.001,Zhoushan,122.1858,30.0948,0.00334
