cities, longitude, latitude, Pearson coefficient, p-value
Tai'an,117.0258,36.001,0.137,0.085
Xiangxi,109.7269,28.6947,0.418,0.0
Taizhou,120.0567,32.5714,0.157,0.047
Chenzhou,113.1367,25.8147,0.25,0.001
Ankang,108.9265,32.7572,0.252,0.001
Luohe,113.8999,33.6557,0.207,0.009
Linyi,118.2805,35.3091,0.214,0.007
Yancheng,120.1829,33.509,0.101,0.206
Xinxiang,114.0885,35.2621,0.558,0.0
Jingmen,112.6083,31.069,0.466,0.0
Hengyang,112.5744,26.7944,0.432,0.0
Zhumadian,114.1509,32.9234,0.317,0.0
Yingtan,117.1086,28.224,0.144,0.07
Huangshi,115.0253,29.9268,0.397,0.0
Sanmenxia,111.1059,34.3609,0.408,0.0
Luan,116.2297,31.66,0.396,0.0
Zhuzhou,113.5164,27.1198,0.312,0.0
Shangluo,109.9013,33.6471,0.329,0.0
Luoyang,112.0312,34.2911,0.149,0.059
Xinyu,114.8526,27.8452,0.143,0.072
Anqing,116.4867,30.576,0.266,0.001
Beijing,116.4123,40.1855,0.261,0.001
Zhangjiakou,115.0324,40.8651,0.784,0.0
Xuancheng,118.8522,30.6862,0.407,0.0
Xiangyang,111.9371,31.9307,0.185,0.019
Shaoxing,120.6365,29.7352,0.209,0.008
Huanggang,115.3397,30.7159,0.311,0.0
Hengshui,115.8232,37.7625,0.244,0.002
Weihai,121.9831,37.1203,0.078,0.326
Heze,115.6924,35.1504,0.339,0.0
Zhangjiajie,110.5256,29.3936,0.282,0.0
Quanzhou,118.2573,25.2001,0.224,0.004
Huainan,116.7684,32.472,0.402,0.0
Yichang,111.1352,30.7469,0.252,0.001
Bozhou,116.1807,33.4355,0.391,0.0
Zhengzhou,113.469,34.6279,0.298,0.0
Zibo,118.0533,36.6077,0.059,0.457
Shaoyang,110.8747,26.9136,0.346,0.0
Anyang,114.3538,35.8764,0.396,0.0
Taiyuan,112.3161,37.9592,0.051,0.524
Xuzhou,117.5166,34.3561,-0.011,0.895
Dezhou,116.6464,37.2477,0.264,0.001
Puyang,115.2825,35.8085,0.438,0.0
Ezhou,114.7558,30.3287,0.304,0.0
Hanzhong,107.1015,33.0906,0.335,0.0
Hangzhou,119.47,29.9003,0.502,0.0
Ji'an,114.8247,26.9736,0.343,0.0
Jiyuan,112.3919,35.1003,0.244,0.002
Zhoukou,114.8778,33.7218,0.489,0.0
Jingdezhen,117.27,29.3073,0.109,0.168
Zhangzhou,117.443,24.3664,0.328,0.0
Nanping,118.1421,27.339,0.481,0.0
Langfang,116.628,39.2592,0.466,0.0
Loudi,111.6143,27.7392,0.351,0.0
Qingdao,120.1426,36.4532,0.124,0.118
Huzhou,119.8687,30.7444,0.089,0.264
Shennongjia,110.4747,31.5904,0.416,0.0
Yueyang,113.2545,29.0653,0.267,0.001
Enshi,109.549,30.1916,0.307,0.0
Linfen,111.3769,36.2269,0.361,0.0
Weifang,119.0711,36.5456,0.538,0.0
