Similar cities, longitude, latitude, DTW distance (intensity), p-value
Tai'an,117.0258,36.001,13.66,0.0
Xiangxi,109.7269,28.6947,10.66,0.0
Taizhou,120.0567,32.5714,0.0,1.0
Chenzhou,113.1367,25.8147,4.65,0.0
Ankang,108.9265,32.7572,3.84,0.0
Luohe,113.8999,33.6557,2.75,0.0
Linyi,118.2805,35.3091,29.11,0.0
Yancheng,120.1829,33.509,5.6,0.0
Xinxiang,114.0885,35.2621,5.33,0.0
Jingmen,112.6083,31.069,7.31,0.0
Hengyang,112.5744,26.7944,12.96,0.0
Zhumadian,114.1509,32.9234,13.95,0.0
Yingtan,117.1086,28.224,9.84,0.0
Huangshi,115.0253,29.9268,5.25,0.0
Sanmenxia,111.1059,34.3609,1.43,0.0
Luan,116.2297,31.66,17.18,0.0
Zhuzhou,113.5164,27.1198,37.91,0.0
Shangluo,109.9013,33.6471,7.7,0.0
Luoyang,112.0312,34.2911,2.57,0.0
Xinyu,114.8526,27.8452,16.38,0.0
Anqing,116.4867,30.576,15.3,0.0
Beijing,116.4123,40.1855,39.13,0.0
Zhangjiakou,115.0324,40.8651,9.34,0.0
Xuancheng,118.8522,30.6862,4.93,0.0
Xiangyang,111.9371,31.9307,22.63,0.0
Shaoxing,120.6365,29.7352,14.05,0.0
Huanggang,115.3397,30.7159,19.02,0.0
Hengshui,115.8232,37.7625,5.71,0.0
Weihai,121.9831,37.1203,43.37,0.0
Heze,115.6924,35.1504,8.4,0.0
Zhangjiajie,110.5256,29.3936,0.0,1.0
Quanzhou,118.2573,25.2001,30.67,0.0
Huainan,116.7684,32.472,11.44,0.0
Yichang,111.1352,30.7469,9.93,0.0
Bozhou,116.1807,33.4355,11.92,0.0
Zhengzhou,113.469,34.6279,33.1,0.0
Zibo,118.0533,36.6077,18.19,0.0
Shaoyang,110.8747,26.9136,8.01,0.0
Anyang,114.3538,35.8764,3.01,0.0
Taiyuan,112.3161,37.9592,93.41,0.0
Xuzhou,117.5166,34.3561,10.0,0.0
Dezhou,116.6464,37.2477,9.72,0.0
Puyang,115.2825,35.8085,3.14,0.0
Ezhou,114.7558,30.3287,9.32,0.0
Hanzhong,107.1015,33.0906,1.85,0.0
Hangzhou,119.47,29.9003,17.25,0.0
Ji'an,114.8247,26.9736,13.1,0.0
Jiyuan,112.3919,35.1003,3.4,0.0
Zhoukou,114.8778,33.7218,6.27,0.0
Jingdezhen,117.27,29.3073,18.41,0.0
Zhangzhou,117.443,24.3664,34.06,0.0
Nanping,118.1421,27.339,6.99,0.0
Langfang,116.628,39.2592,12.85,0.0
Loudi,111.6143,27.7392,20.69,0.0
Qingdao,120.1426,36.4532,36.78,0.0
Huzhou,119.8687,30.7444,4.54,0.0
Shennongjia,110.4747,31.5904,1.25,0.0
Yueyang,113.2545,29.0653,36.04,0.0
Enshi,109.549,30.1916,3.42,0.0
Linfen,111.3769,36.2269,16.18,0.0
Weifang,119.0711,36.5456,12.1,0.0
Lvliang,111.2632,37.6785,1.21,0.0
Jiaxing,120.8034,30.6165,7.6,0.0
Xianyang,108.3905,34.7845,57.28,0.0
Fuzhou,119.1803,26.0497,0.0,1.0
Tongchuan,109.0322,35.1957,2.24,0.0
Nanjing,118.8425,31.9276,24.52,0.0
Wuhan,114.343,30.6236,52.13,0.0
Handan,114.5421,36.553,8.87,0.0
Dongying,118.6016,37.6222,12.41,0.0
Hefei,117.3558,31.7634,11.27,0.0
Jining,116.735,35.3685,20.45,0.0
Xi'an,108.7919,34.1069,74.48,0.0
Fuyang,115.7038,32.9173,7.65,0.0
Jiujiang,115.4527,29.3218,35.08,0.0
Yuncheng,111.0634,35.1866,17.16,0.0
Changde,111.5195,29.3001,8.9,0.0
Nantong,121.0218,32.186,4.28,0.0
Huangshan,118.0711,29.9066,0.76,0.0
Xinzhou,112.4074,38.8819,7.54,0.0
Xiantao,113.3751,30.2901,15.39,0.0
Suzhou,120.6516,31.3813,0.0,1.0
Tianmen,113.1118,30.6449,2.43,0.0
Chengde,117.5486,41.3476,3.07,0.0
Fuzhou,116.4343,27.51,1.54,0.0
Huaihua,110.0754,27.5489,1.9,0.0
Shijiazhuang,114.4399,38.1313,21.43,0.0
Jiaozuo,113.1291,35.1169,3.02,0.0
Nanyang,112.2845,33.0427,3.43,0.0
Yongzhou,111.7294,25.7747,1.2,0.0
Wuhu,118.1346,31.1627,9.92,0.0
Ganzhou,115.273,25.7088,7.48,0.0
Quzhou,118.6747,28.9345,7.07,0.0
Qinhuangdao,119.185,40.088,25.31,0.0
Ma'anshan,118.3651,31.637,6.53,0.0
Xiamen,118.1158,24.6765,36.07,0.0
Xingtai,114.8159,37.2126,9.11,0.0
Hebi,114.3109,35.7217,3.54,0.0
Lianyungang,119.1336,34.5332,2.76,0.0
Shangrao,117.4723,28.7734,12.91,0.0
Baoding,115.1706,39.0213,11.61,0.0
Yiyang,111.951,28.5751,29.77,0.0
Jinan,117.2148,36.6371,11.17,0.0
Shiyan,110.4423,32.4559,5.57,0.0
Bengbu,117.3254,33.1086,13.32,0.0
Zhoushan,122.1858,30.0948,5.76,0.0
Yulin,109.5663,38.0378,8.66,0.0
Yan'an,109.3152,36.4372,2.95,0.0
Taizhou,121.1108,28.7727,0.24,0.0
Wenzhou,120.4404,27.9037,11.89,0.0
Lishui,119.5117,28.1993,9.05,0.0
Ningde,119.4734,26.9749,5.63,0.0
Tongling,117.5561,30.8842,10.08,0.0
Jingzhou,112.57,29.9959,27.02,0.0
Huaibei,116.7435,33.7266,2.85,0.0
Yantai,120.8006,37.2408,18.77,0.0
Xiaogan,113.8793,31.1183,15.48,0.0
Wuxi,120.0758,31.5264,10.18,0.0
Pingdingshan,113.0118,33.7954,9.06,0.0
Suizhou,113.4241,31.8284,3.31,0.0
Xuchang,113.7096,34.0726,5.43,0.0
Suqian,118.5202,33.7842,9.92,0.0
Tangshan,118.3359,39.7212,25.96,0.0
Nanchang,116.019,28.6493,31.45,0.0
Pingxiang,113.9025,27.5116,6.66,0.0
Changzhi,112.9168,36.4753,26.64,0.0
Huai'an,118.9638,33.3529,12.11,0.0
Xinyang,114.8839,32.0812,1.48,0.0
Yangzhou,119.4742,32.7382,3.32,0.0
Yichun,114.9727,28.3061,29.99,0.0
Baoji,107.2,34.3788,8.21,0.0
Datong,113.7223,39.8995,97.31,0.0
Chuzhou,118.1026,32.5442,5.81,0.0
Jincheng,112.7076,35.6106,12.83,0.0
Rizhao,119.1351,35.583,2.95,0.0
Jinhua,119.9521,29.1183,7.83,0.0
Longyan,116.7387,25.2928,4.86,0.0
Ningbo,121.4607,29.7424,4.1,0.0
Putian,118.8895,25.4509,3.2,0.0
Changsha,113.1531,28.2269,44.41,0.0
Xiangtan,112.6027,27.7316,33.92,0.0
Weinan,109.8508,34.95,19.19,0.0
Zaozhuang,117.3933,34.916,11.97,0.0
Shangqiu,115.6982,34.2884,2.51,0.0
Jinzhong,112.9632,37.3273,27.61,0.0
Liaocheng,115.8806,36.4585,2.36,0.0
Xianning,114.1752,29.6236,10.86,0.0
Changzhou,119.6372,31.6253,16.17,0.0
Kaifeng,114.5355,34.604,5.64,0.0
Tianjin,117.334,39.2934,19.46,0.0
Zhenjiang,119.4536,32.0167,9.34,0.0
Suzhou,117.2108,33.8587,1.67,0.0
Yangquan,113.499,38.0635,6.12,0.0
Chizhou,117.3656,30.2838,11.18,0.0
Binzhou,117.8377,37.5316,5.41,0.0
Sanming,117.3959,26.2987,3.94,0.0
Shuozhou,112.6415,39.6173,67.77,0.0
Cangzhou,116.7533,38.2668,3.46,0.0
Shanghai,121.4691,31.2401,5.65,0.0
Qianjiang,112.7561,30.339,6.36,0.0
