cities, longitude, latitude, DTW distance, p-value
Tai'an,117.0258,36.001,74.48,0.0
Xiangxi,109.7269,28.6947,145.47,0.211
Taizhou,120.0567,32.5714,93.55,0.0
Chenzhou,113.1367,25.8147,219.36,0.88
Ankang,108.9265,32.7572,135.65,0.019
Luohe,113.8999,33.6557,71.88,0.0
Linyi,118.2805,35.3091,119.33,0.0
Yancheng,120.1829,33.509,104.61,0.0
Xinxiang,114.0885,35.2621,221.89,0.02
Jingmen,112.6083,31.069,62.4,0.0
Hengyang,112.5744,26.7944,130.44,0.01
Zhumadian,114.1509,32.9234,107.62,0.008
Yingtan,117.1086,28.224,107.0,0.414
Huangshi,115.0253,29.9268,95.41,0.0
Sanmenxia,111.1059,34.3609,74.05,0.0
Luan,116.2297,31.66,177.07,0.203
Zhuzhou,113.5164,27.1198,141.34,0.05
Shangluo,109.9013,33.6471,80.86,0.201
Luoyang,112.0312,34.2911,199.84,0.003
Xinyu,114.8526,27.8452,60.38,0.0
Anqing,116.4867,30.576,144.66,0.008
Beijing,116.4123,40.1855,797.74,0.004
Zhangjiakou,115.0324,40.8651,189.95,0.006
Xuancheng,118.8522,30.6862,154.73,0.038
Xiangyang,111.9371,31.9307,90.46,0.0
Shaoxing,120.6365,29.7352,147.59,0.006
Huanggang,115.3397,30.7159,145.93,0.413
Hengshui,115.8232,37.7625,79.56,0.0
Weihai,121.9831,37.1203,234.91,0.154
Heze,115.6924,35.1504,94.91,0.0
Zhangjiajie,110.5256,29.3936,977.94,0.534
Quanzhou,118.2573,25.2001,112.61,0.0
Huainan,116.7684,32.472,146.76,0.108
Yichang,111.1352,30.7469,168.92,0.01
Bozhou,116.1807,33.4355,76.82,0.0
Zhengzhou,113.469,34.6279,385.06,0.0
Zibo,118.0533,36.6077,79.28,0.0
Shaoyang,110.8747,26.9136,88.71,0.0
Anyang,114.3538,35.8764,90.21,0.0
Taiyuan,112.3161,37.9592,183.84,0.0
Xuzhou,117.5166,34.3561,205.1,0.0
Dezhou,116.6464,37.2477,88.68,0.0
Puyang,115.2825,35.8085,104.22,0.001
Ezhou,114.7558,30.3287,111.81,0.189
Hanzhong,107.1015,33.0906,135.3,0.002
Hangzhou,119.47,29.9003,821.89,0.583
Ji'an,114.8247,26.9736,57.75,0.0
Jiyuan,112.3919,35.1003,121.12,0.809
Zhoukou,114.8778,33.7218,69.45,0.0
Jingdezhen,117.27,29.3073,179.47,0.16
Zhangzhou,117.443,24.3664,96.91,0.0
Nanping,118.1421,27.339,54.71,0.0
Langfang,116.628,39.2592,107.99,0.0
Loudi,111.6143,27.7392,75.21,0.0
Qingdao,120.1426,36.4532,330.98,0.0
Huzhou,119.8687,30.7444,250.31,0.054
Shennongjia,110.4747,31.5904,708.59,1.0
Yueyang,113.2545,29.0653,81.01,0.0
