cities, longitude, latitude, DTW distance, p-value
Tai'an,117.0258,36.001,4.7,0.0
Xiangxi,109.7269,28.6947,3.44,0.0
Taizhou,120.0567,32.5714,7.74,0.0
Chenzhou,113.1367,25.8147,1.79,0.0
Ankang,108.9265,32.7572,1.12,0.0
Luohe,113.8999,33.6557,25.1,0.0
Linyi,118.2805,35.3091,10.28,0.0
Yancheng,120.1829,33.509,8.65,0.0
Xinxiang,114.0885,35.2621,3.72,0.0
Jingmen,112.6083,31.069,2.06,0.0
Hengyang,112.5744,26.7944,5.39,0.0
Zhumadian,114.1509,32.9234,2.95,0.0
Yingtan,117.1086,28.224,1.88,0.0
Huangshi,115.0253,29.9268,1.84,0.0
Sanmenxia,111.1059,34.3609,3.06,0.0
Luan,116.2297,31.66,5.68,0.0
Zhuzhou,113.5164,27.1198,2.99,0.0
Shangluo,109.9013,33.6471,1.33,0.0
Luoyang,112.0312,34.2911,3.67,0.0
Xinyu,114.8526,27.8452,1.11,0.0
Anqing,116.4867,30.576,3.74,0.0
Beijing,116.4123,40.1855,32.32,0.0
Zhangjiakou,115.0324,40.8651,4.35,0.0
Xuancheng,118.8522,30.6862,4.49,0.0
Xiangyang,111.9371,31.9307,5.6,0.0
Shaoxing,120.6365,29.7352,29.02,0.0
Huanggang,115.3397,30.7159,3.34,0.0
Hengshui,115.8232,37.7625,5.39,0.0
Weihai,121.9831,37.1203,18.24,0.292
Heze,115.6924,35.1504,4.52,0.0
Zhangjiajie,110.5256,29.3936,3.71,0.0
Quanzhou,118.2573,25.2001,4.27,0.0
Huainan,116.7684,32.472,3.56,0.0
Yichang,111.1352,30.7469,2.47,0.0
Bozhou,116.1807,33.4355,5.19,0.0
Zhengzhou,113.469,34.6279,12.54,0.0
Zibo,118.0533,36.6077,5.45,0.0
Shaoyang,110.8747,26.9136,4.31,0.0
Anyang,114.3538,35.8764,3.11,0.0
Taiyuan,112.3161,37.9592,6.52,0.0
Xuzhou,117.5166,34.3561,6.99,0.0
Dezhou,116.6464,37.2477,9.64,0.0
Puyang,115.2825,35.8085,3.35,0.0
Ezhou,114.7558,30.3287,2.6,0.0
Hanzhong,107.1015,33.0906,1.69,0.0
Hangzhou,119.47,29.9003,15.77,0.0
Ji'an,114.8247,26.9736,1.37,0.0
Jiyuan,112.3919,35.1003,1.5,0.0
Zhoukou,114.8778,33.7218,3.92,0.0
Jingdezhen,117.27,29.3073,1.91,0.0
Zhangzhou,117.443,24.3664,1.78,0.0
Nanping,118.1421,27.339,1.9,0.0
Langfang,116.628,39.2592,9.33,0.0
Loudi,111.6143,27.7392,3.56,0.0
Qingdao,120.1426,36.4532,106.39,0.013
Huzhou,119.8687,30.7444,7.57,0.0
Shennongjia,110.4747,31.5904,1.04,0.069
Yueyang,113.2545,29.0653,8.34,0.0
Enshi,109.549,30.1916,0.79,0.0
Linfen,111.3769,36.2269,3.77,0.0
Weifang,119.0711,36.5456,34.68,0.0
Lvliang,111.2632,37.6785,3.46,0.0
Jiaxing,120.8034,30.6165,35.96,0.0
Xianyang,108.3905,34.7845,8.56,0.0
Fuzhou,119.1803,26.0497,2.79,0.0
Tongchuan,109.0322,35.1957,3.95,0.0
Nanjing,118.8425,31.9276,18.34,0.0
Wuhan,114.343,30.6236,5.35,0.0
Handan,114.5421,36.553,9.39,0.0
Dongying,118.6016,37.6222,7.79,0.0
Hefei,117.3558,31.7634,7.74,0.0
Jining,116.735,35.3685,4.94,0.0
Xi'an,108.7919,34.1069,9.08,0.0
Fuyang,115.7038,32.9173,4.05,0.0
Jiujiang,115.4527,29.3218,2.84,0.0
Yuncheng,111.0634,35.1866,1.98,0.0
Changde,111.5195,29.3001,2.59,0.0
Nantong,121.0218,32.186,10.46,0.0
Huangshan,118.0711,29.9066,2.85,0.0
Xinzhou,112.4074,38.8819,2.89,0.0
Xiantao,113.3751,30.2901,4.42,0.0
Suzhou,120.6516,31.3813,49.24,0.0
Tianmen,113.1118,30.6449,0.6,0.0
Chengde,117.5486,41.3476,2.11,0.0
Fuzhou,116.4343,27.51,2.69,0.0
Huaihua,110.0754,27.5489,1.41,0.0
Shijiazhuang,114.4399,38.1313,6.77,0.0
Jiaozuo,113.1291,35.1169,2.05,0.0
Nanyang,112.2845,33.0427,8.95,0.0
Yongzhou,111.7294,25.7747,1.52,0.0
Wuhu,118.1346,31.1627,4.57,0.0
Ganzhou,115.273,25.7088,2.29,0.0
Quzhou,118.6747,28.9345,9.78,0.0
Qinhuangdao,119.185,40.088,17.92,0.0
Ma'anshan,118.3651,31.637,5.74,0.0
Xiamen,118.1158,24.6765,2.7,0.0
Xingtai,114.8159,37.2126,6.34,0.0
Hebi,114.3109,35.7217,1.58,0.0
Lianyungang,119.1336,34.5332,7.19,0.0
Shangrao,117.4723,28.7734,5.35,0.0
Baoding,115.1706,39.0213,6.26,0.0
Yiyang,111.951,28.5751,2.0,0.0
Jinan,117.2148,36.6371,8.99,0.0
Shiyan,110.4423,32.4559,1.5,0.0
Bengbu,117.3254,33.1086,7.41,0.0
Zhoushan,122.1858,30.0948,11.98,0.0
Yulin,109.5663,38.0378,2.66,0.0
Yan'an,109.3152,36.4372,2.81,0.0
Taizhou,121.1108,28.7727,5.13,0.0
Wenzhou,120.4404,27.9037,8.01,0.0
Lishui,119.5117,28.1993,6.4,0.0
Ningde,119.4734,26.9749,1.19,0.0
Tongling,117.5561,30.8842,2.97,0.0
Jingzhou,112.57,29.9959,5.24,0.0
Huaibei,116.7435,33.7266,2.61,0.0
Yantai,120.8006,37.2408,46.41,0.873
Xiaogan,113.8793,31.1183,3.24,0.0
Wuxi,120.0758,31.5264,15.86,0.0
Pingdingshan,113.0118,33.7954,5.94,0.0
Suizhou,113.4241,31.8284,2.95,0.0
Xuchang,113.7096,34.0726,6.12,0.0
Suqian,118.5202,33.7842,15.77,0.0
Tangshan,118.3359,39.7212,15.87,0.0
Nanchang,116.019,28.6493,3.8,0.0
Pingxiang,113.9025,27.5116,0.96,0.0
Changzhi,112.9168,36.4753,3.99,0.0
Huai'an,118.9638,33.3529,12.96,0.0
Xinyang,114.8839,32.0812,2.15,0.0
Yangzhou,119.4742,32.7382,10.42,0.0
Yichun,114.9727,28.3061,3.65,0.0
Baoji,107.2,34.3788,3.74,0.0
Datong,113.7223,39.8995,6.33,0.0
Chuzhou,118.1026,32.5442,11.67,0.0
Jincheng,112.7076,35.6106,1.37,0.0
Rizhao,119.1351,35.583,10.28,0.0
Jinhua,119.9521,29.1183,10.94,0.0
Longyan,116.7387,25.2928,0.85,0.0
Ningbo,121.4607,29.7424,9.91,0.0
Putian,118.8895,25.4509,0.99,0.0
Changsha,113.1531,28.2269,18.0,0.0
Xiangtan,112.6027,27.7316,17.56,0.0
Weinan,109.8508,34.95,4.04,0.0
Zaozhuang,117.3933,34.916,2.71,0.0
Shangqiu,115.6982,34.2884,4.3,0.0
Jinzhong,112.9632,37.3273,4.2,0.0
Liaocheng,115.8806,36.4585,5.3,0.0
Xianning,114.1752,29.6236,2.13,0.0
Changzhou,119.6372,31.6253,11.15,0.0
Kaifeng,114.5355,34.604,3.89,0.0
Tianjin,117.334,39.2934,15.45,0.0
Zhenjiang,119.4536,32.0167,7.6,0.0
Suzhou,117.2108,33.8587,4.62,0.0
Yangquan,113.499,38.0635,1.56,0.0
Chizhou,117.3656,30.2838,2.73,0.0
Binzhou,117.8377,37.5316,5.96,0.0
Sanming,117.3959,26.2987,1.46,0.0
Shuozhou,112.6415,39.6173,4.32,0.0
Cangzhou,116.7533,38.2668,9.45,0.0
